GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
14,110,CT,G,,,1,22.0,6.6,12.32,-1.41,8,6,,1,1,1,,,,12,1,0.3,1,,,,505.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
15,110,CT,G,,,1,50.1,15.03,28.06,-3.21,8,6,,1,1,1,,,,44,1,0.3,1,,,,122.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
16,110,CT,G,,,1,203.2,60.96,94.69,-24.79,8,6,,1,1,1,,,,76,1,0.30000000000000004,1,,,,322.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
18,32,CT,G,,,1,432.0,129.6,241.92,-27.65,8,6,,1,1,1,,,,75,1,0.3,1,,,,3088.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
19,32,WIND,W,,,1,643.2999894,0.0,332.25,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
20,32,WIND,W,,,1,780.1999894,0.0,408.91,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
21,50,PV,S,,,1,114.3333333,0.0,7.31,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
22,50,PV,S,,,1,406.3333333,0.0,25.96,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
23,50,WIND,W,,,1,108.7999816,0.0,12.52,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
24,50,WIND,W,,,1,192.4999756,0.0,30.35,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
25,100,CT,G,,,1,914.6,274.38,512.18,-58.53,8,6,,1,1,1,,,,38,1,0.3,1,,,,2010.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
26,100,COAL,C,,,1,1530.0,459.0,712.98,-186.66,12,24,,1,1,1,,,,360,1,0.3,1,,,,1862.0,18.93942,,,,3009.084047,2863.00038,2715.719307,19.27003,19.73475,18.93942,73.16,71.08,69.84,7.85,7.56,7.44
27,100,CT,G,,,1,535.5,160.65,299.88,-34.27,8,6,,1,1,1,,,,58,1,0.3,1,,,,3361.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
28,100,CT,G,,,1,25.7,7.71,14.39,-1.64,8,6,,1,1,1,,,,33,1,0.3,1,,,,272.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
31,26,WIND,W,,,1,124.9999837,0.0,15.97,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
32,101,PV,S,,,1,9.333333333,0.0,1.08,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
37,33,PV,S,,,1,9.333333333,0.0,1.08,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
38,33,PV,S,,,1,12.0,0.0,1.38,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
39,33,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
40,33,PV,S,,,1,8.0,0.0,0.92,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
41,70,WIND,W,,,1,115.9999881,0.0,25.34,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
42,49,PV,S,,,1,105.0,0.0,12.1,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
44,17,CT,G,,,1,108.0,32.4,41.47,-5.29,8,6,,1,1,1,,,,35,1,0.3,1,,,,558.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
45,61,CT,G,,,1,54.9,16.47,21.08,-2.69,8,6,,1,1,1,,,,14,1,0.3,1,,,,226.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
46,61,PV,S,,,1,50.0,0.0,5.76,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
47,61,CT,G,,,1,60.0,18.0,23.04,-2.94,8,6,,1,1,1,,,,44,1,0.3,1,,,,13.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
48,61,CT,G,,,1,44.0,13.2,16.9,-2.16,8,6,,1,1,1,,,,35,1,0.3,1,,,,295.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
49,79,CT,G,,,1,639.0,191.7,297.77,-77.96,8,6,,1,1,1,,,,7,1,0.3,1,,,,1971.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
50,79,CT,G,,,1,595.0,178.5,333.2,-38.08,8,6,,1,1,1,,,,45,1,0.3,1,,,,2753.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
51,91,CT,G,,,1,242.0,72.6,135.52,-15.49,8,6,,1,1,1,,,,59,1,0.3,1,,,,235.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
52,26,WIND,W,,,1,132.4999847,0.0,17.57,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
53,26,WIND,W,,,1,210.4999834,0.0,34.19,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
54,59,CT,G,,,1,1152.8,345.84,645.57,-73.78,8,6,,1,1,1,,,,46,1,0.3,1,,,,1817.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
55,59,WIND,W,,,1,622.9999846,0.0,320.88,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
60,71,CT,G,,,1,201.6,60.48,42.94,-29.03,8,6,,1,1,1,,,,16,1,0.3,1,,,,447.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
61,71,CT,G,,,1,201.0,60.3,42.81,-28.94,8,6,,1,1,1,,,,55,1,0.3,1,,,,166.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
62,71,CT,G,,,1,283.2,84.96,60.32,-40.78,8,6,,1,1,1,,,,25,1,0.3,1,,,,456.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
63,93,WIND,W,,,1,169.9999881,0.0,25.56,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
64,93,WIND,W,,,1,199.9999882,0.0,31.95,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
65,25,WIND,W,,,1,138.0000138,0.0,40.04,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
66,112,CT,G,,,1,24.9,7.47,0.0,0.0,8,6,,1,1,1,,,,61,1,0.3,1,,,,311.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
68,74,WIND,W,,,1,34.00008831,0.0,17.89,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
70,57,CT,G,,,1,191.1,57.33,107.02,-12.23,8,6,,1,1,1,,,,41,1,0.3,1,,,,27.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
71,57,CT,G,,,1,861.0,258.3,482.16,-55.1,8,6,,1,1,1,,,,32,1,0.3,1,,,,3313.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
72,57,CT,G,,,1,450.0,135.0,252.0,-28.8,8,6,,1,1,1,,,,75,1,0.3,1,,,,831.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
73,57,CT,G,,,1,56.0,16.8,0.0,0.0,8,6,,1,1,1,,,,66,1,0.3,1,,,,306.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
74,19,WIND,W,,,1,217.6000262,0.0,124.7,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
75,98,CT,G,,,1,114.0,34.2,0.0,0.0,8,6,,1,1,1,,,,35,1,0.30000000000000004,1,,,,447.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
76,44,CT,G,,,1,453.5,136.05,211.33,-55.33,8,6,,1,1,1,,,,59,1,0.30000000000000004,1,,,,715.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
77,119,WIND,W,,,1,199.9999773,0.0,31.95,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
78,119,WIND,W,,,1,151.199977,0.0,21.56,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
79,119,WIND,W,,,1,87.49998257,0.0,7.99,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
80,119,WIND,W,,,1,141.4999815,0.0,19.49,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
81,119,WIND,W,,,1,184.9999773,0.0,28.76,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
82,119,WIND,W,,,1,130.4999826,0.0,17.15,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
83,119,WIND,W,,,1,290.9999776,0.0,51.33,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
85,91,CT,G,,,1,168.0,50.4,94.08,-10.75,8,6,,1,1,1,,,,77,1,0.3,1,,,,18.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
88,94,WIND,W,,,1,170.5999841,0.0,25.69,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
89,94,WIND,W,,,1,163.9999841,0.0,24.28,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
90,94,WIND,W,,,1,220.1999844,0.0,36.25,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
91,94,WIND,W,,,1,785.4999847,0.0,156.66,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
92,94,WIND,W,,,1,282.4999845,0.0,49.52,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
93,111,NUC,N,,,1,2708.6,812.58,996.76,-222.11,48,48,,1,1,1,,,,1200,1,0.30000000000000004,1,,,,0.0,7.378403404,,,,7040.489322,6966.178959,6731.224251,7.210946358,7.294679868,7.378403404,145.96,145.96,145.96,2.84,2.84,2.84
94,91,CT,G,,,1,63.1,18.93,29.4,-7.7,8,6,,1,1,1,,,,71,1,0.3,1,,,,219.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
95,82,WIND,W,,,1,119.9999868,0.0,26.88,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
96,22,WIND,W,,,1,99.60002575,0.0,31.86,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
97,22,WIND,W,,,1,612.5000265,0.0,141.11,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
98,19,CT,G,,,1,150.0,45.0,31.95,-21.6,8,6,,1,1,1,,,,55,1,0.3,1,,,,85.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
99,19,WIND,W,,,1,42.00002267,0.0,19.6,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
100,36,CT,G,,,1,618.7,185.61,346.47,-39.6,8,6,,1,1,1,,,,7,1,0.3,1,,,,889.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
102,74,WIND,W,,,1,80.50009646,0.0,27.8,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
103,74,WIND,W,,,1,70.00009472,0.0,25.56,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
104,74,WIND,W,,,1,13.00007328,0.0,13.42,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
105,74,CT,G,,,1,249.0,74.7,53.04,-35.86,8,6,,1,1,1,,,,47,1,0.3,1,,,,49.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
106,50,PV,S,,,1,400.0,0.0,25.56,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
107,120,CT,G,,,1,150.0,45.0,31.95,-21.6,8,6,,1,1,1,,,,52,1,0.3,1,,,,191.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
108,94,CT,G,,,1,169.5,50.85,36.1,-24.41,8,6,,1,1,1,,,,62,1,0.3,1,,,,155.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
109,77,WIND,W,,,1,199.9999318,0.0,31.95,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
110,2,WIND,W,,,1,338.5999989,0.0,61.47,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
111,70,PV,S,,,1,32.0,0.0,3.69,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
112,82,CT,G,,,1,250.0,75.0,140.0,-16.0,8,6,,1,1,1,,,,56,1,0.3,1,,,,329.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
113,30,WIND,W,,,1,150.0001006,0.0,42.6,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
114,30,CT,G,,,1,165.6,49.68,35.27,-23.85,8,6,,1,1,1,,,,78,1,0.3,1,,,,317.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
115,30,WIND,W,,,1,150.0001006,0.0,42.6,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
117,30,WIND,W,,,1,10.00007654,0.0,12.78,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
118,93,CT,G,,,1,225.0,67.5,47.93,-32.4,8,6,,1,1,1,,,,71,1,0.3,1,,,,306.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
119,93,WIND,W,,,1,199.9999882,0.0,31.95,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
120,93,WIND,W,,,1,117.5999879,0.0,14.4,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,1206.0,955.919273,908.1233094,0.0,0.0,0.0,40.975,38.95,37.489375,0.0,0.0,0.0
121,53,CT,G,,,1,1097.4,329.22,511.39,-133.88,8,6,,1,1,1,,,,8,1,0.3,1,,,,1850.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
122,81,CT,G,,,1,243.3,72.99,113.38,-29.68,8,6,,1,1,1,,,,21,1,0.3,1,,,,343.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
123,50,PV,S,,,1,6.666666667,0.0,1.02,0.0,0,0,,1,1,1,,,,0,1,0.0,1,,,,0.0,0.0,,,,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
124,98,CT,G,,,1,44.0,13.2,0.0,0.0,8,6,,1,1,1,,,,6,1,0.3,1,,,,107.0,22.80128,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
