Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Area,25,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,25,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,26,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,26,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,27,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,27,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,28,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,28,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,29,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,29,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,30,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,30,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,31,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,31,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,32,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,32,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,33,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,33,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,34,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,34,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,35,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,35,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,36,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,36,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,37,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,37,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,38,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,38,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,39,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,39,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,40,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,40,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,41,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,41,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,42,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,42,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,43,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,43,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,44,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,44,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,45,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,45,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,46,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,46,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,47,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,47,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,48,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,48,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,49,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,49,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,50,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,50,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,51,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,51,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,52,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,52,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,53,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,53,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,54,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,54,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,55,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,55,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,56,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,56,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,57,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,57,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,58,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,58,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,59,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,59,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,60,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,60,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,61,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,61,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,62,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,62,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,63,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,63,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,64,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,64,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,65,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,65,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,66,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,66,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,67,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,67,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,68,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,68,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,69,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,69,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,70,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,70,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,71,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,71,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,72,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,72,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,73,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,73,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,74,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,74,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,75,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,75,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,76,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,76,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,77,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,77,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,78,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,78,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,79,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,79,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,80,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,80,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,81,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,81,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,82,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,82,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,83,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,83,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,84,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,84,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,85,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,85,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,86,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,86,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,87,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,87,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,88,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,88,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,89,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,89,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,90,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,90,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,91,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,91,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,92,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,92,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,93,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,93,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,94,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,94,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,95,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,95,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,96,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,96,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,97,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,97,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,98,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,98,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,99,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,99,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,100,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,100,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,101,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,101,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,102,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,102,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,103,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,103,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,104,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,104,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,105,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,105,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,106,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,106,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,107,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,107,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,108,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,108,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,109,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,109,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,110,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,110,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,111,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,111,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,112,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,112,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,113,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,113,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,114,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,114,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,115,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,115,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,116,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,116,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,117,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,117,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,118,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,118,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,119,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,119,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,120,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,120,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,121,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,121,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,122,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,122,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Area,123,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Area,123,MW Load,REAL_TIME_load.csv
DAY_AHEAD,Generator,19,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,19,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,19,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,19,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,20,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,20,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,20,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,20,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,23,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,23,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,23,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,23,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,24,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,24,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,24,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,24,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,31,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,31,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,31,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,31,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,41,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,41,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,41,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,41,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,52,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,52,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,52,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,52,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,53,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,53,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,53,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,53,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,55,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,55,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,55,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,55,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,63,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,63,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,63,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,63,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,64,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,64,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,64,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,64,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,65,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,65,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,65,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,65,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,68,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,68,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,68,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,68,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,74,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,74,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,74,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,74,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,77,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,77,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,77,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,77,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,78,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,78,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,78,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,78,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,79,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,79,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,79,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,79,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,80,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,80,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,80,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,80,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,81,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,81,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,81,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,81,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,82,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,82,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,82,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,82,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,83,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,83,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,83,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,83,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,84,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,84,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,84,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,84,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,88,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,88,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,88,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,88,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,89,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,89,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,89,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,89,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,90,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,90,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,90,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,90,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,91,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,91,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,91,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,91,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,92,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,92,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,92,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,92,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,95,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,95,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,95,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,95,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,96,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,96,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,96,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,96,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,97,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,97,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,97,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,97,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,99,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,99,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,99,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,99,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,102,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,102,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,102,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,102,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,103,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,103,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,103,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,103,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,104,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,104,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,104,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,104,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,109,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,109,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,109,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,109,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,110,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,110,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,110,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,110,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,113,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,113,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,113,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,113,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,115,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,115,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,115,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,115,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,117,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,117,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,117,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,117,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,119,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,119,PMax MW,DAY_AHEAD_wind.csv
REAL_TIME,Generator,119,PMin MW,REAL_TIME_wind.csv
REAL_TIME,Generator,119,PMax MW,REAL_TIME_wind.csv
DAY_AHEAD,Generator,120,PMin MW,DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,120,PMax MW,DAY_AHEAD_wind.csv
